rep,fold,accuracy,recall,f1_score,features_selected,time_selection,time_total,train_time,pred_time
1,1,0.9710714285714286,0.9706647445369285,0.9709663145110055,"[378, 406, 350, 434, 461, 409, 433, 377, 462, 489, 405, 568, 569, 437, 596, 597, 542, 428, 373, 401, 400, 436, 155, 429, 351, 381, 345, 541, 567, 154, 540, 543, 514, 488, 318, 346, 456, 464, 515, 379, 372, 460, 570, 374, 539, 290, 156, 457, 317, 408, 516, 323, 625, 375, 490, 595, 376, 513, 487, 153, 427, 402, 455, 523, 347, 517, 263, 512, 430, 484, 407, 626, 511, 291, 486]",5.698855876922607,10.073225736618042,0.04250311851501465,4.284945249557495
1,2,0.9702142857142857,0.9698354856043873,0.9700513355396303,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 568, 405, 489, 569, 542, 596, 437, 597, 428, 401, 373, 155, 400, 436, 351, 541, 381, 429, 345, 540, 567, 154, 514, 543, 379, 488, 515, 456, 460, 464, 346, 570, 318, 372, 156, 539, 374, 290, 408, 457, 317, 323, 513, 595, 625, 516, 375, 153, 376, 487, 490, 512, 347, 427, 407, 402, 455, 484, 263, 523, 430, 517, 511, 486, 485, 626]",5.7341086864471436,9.908904552459717,0.04194831848144531,4.120593309402466
1,3,0.97,0.9694905561760343,0.96979134363756,"[378, 406, 350, 434, 461, 409, 433, 377, 462, 489, 405, 568, 437, 569, 542, 596, 597, 428, 373, 401, 400, 436, 155, 541, 351, 381, 345, 429, 154, 567, 540, 514, 543, 488, 515, 318, 464, 456, 346, 372, 379, 460, 570, 156, 539, 290, 374, 317, 408, 457, 625, 516, 323, 513, 595, 153, 490, 375, 512, 427, 376, 455, 517, 487, 484, 263, 402, 407, 511, 523, 347, 626, 430, 485, 291]",5.694258451461792,9.756653308868408,0.0420687198638916,4.007047176361084
1,4,0.9728571428571429,0.9725080874063277,0.9727555794896385,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 489, 568, 405, 596, 437, 569, 542, 373, 597, 401, 428, 400, 429, 155, 351, 541, 436, 345, 381, 567, 540, 514, 154, 543, 379, 488, 515, 318, 456, 346, 372, 460, 464, 570, 374, 290, 539, 156, 317, 457, 516, 595, 408, 323, 625, 490, 513, 375, 376, 487, 402, 427, 512, 153, 517, 263, 455, 430, 523, 407, 347, 484, 511, 486, 626, 485]",5.690537214279175,9.751794815063477,0.04304075241088867,4.006215333938599
1,5,0.9727857142857143,0.9723520456736585,0.9726504861709147,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 405, 489, 568, 437, 542, 596, 569, 373, 401, 428, 597, 436, 400, 155, 541, 351, 429, 381, 345, 567, 540, 154, 514, 543, 464, 515, 488, 379, 460, 456, 346, 318, 372, 570, 290, 156, 539, 374, 457, 317, 408, 513, 595, 490, 516, 323, 375, 625, 487, 376, 512, 153, 427, 455, 523, 402, 484, 347, 517, 407, 263, 430, 485, 511, 486, 349]",5.677224397659302,9.792142391204834,0.04499959945678711,4.05676007270813
2,1,0.9707142857142858,0.9703852225219582,0.97064900658194,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 489, 405, 568, 437, 569, 596, 542, 597, 373, 428, 401, 436, 155, 400, 351, 429, 541, 381, 345, 567, 154, 540, 543, 514, 488, 379, 515, 464, 318, 456, 346, 570, 460, 372, 156, 290, 539, 374, 408, 457, 317, 516, 595, 323, 625, 376, 513, 375, 490, 153, 487, 517, 455, 427, 523, 263, 512, 402, 347, 407, 484, 430, 511, 626, 291, 486]",5.675461530685425,9.738374948501587,0.04251408576965332,4.007948160171509
2,2,0.9717857142857143,0.9712326240157878,0.9715931754347793,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 489, 405, 568, 437, 596, 569, 542, 428, 373, 401, 597, 400, 155, 436, 429, 541, 351, 345, 381, 567, 540, 154, 514, 543, 456, 488, 379, 346, 372, 464, 460, 318, 515, 374, 570, 539, 156, 290, 457, 317, 408, 323, 625, 516, 375, 595, 513, 490, 376, 427, 487, 512, 153, 347, 455, 402, 517, 484, 263, 407, 523, 511, 430, 485, 626, 349]",5.655158758163452,9.679941415786743,0.041932106018066406,3.9693593978881836
2,3,0.9702857142857143,0.9697832481988543,0.9700542461627322,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 568, 405, 489, 569, 437, 596, 542, 373, 401, 428, 597, 400, 155, 436, 351, 429, 541, 381, 345, 567, 154, 540, 514, 543, 456, 515, 372, 346, 379, 464, 318, 488, 460, 374, 570, 539, 290, 156, 457, 317, 408, 625, 595, 323, 513, 516, 375, 490, 153, 402, 376, 512, 487, 427, 455, 347, 430, 523, 263, 484, 511, 517, 407, 485, 458, 486]",5.69026255607605,9.7989022731781,0.042467594146728516,4.054118394851685
2,4,0.97,0.969650218630572,0.9698481092556671,"[378, 406, 350, 434, 461, 409, 433, 377, 462, 489, 405, 568, 569, 437, 596, 542, 597, 428, 401, 373, 400, 155, 436, 541, 351, 429, 381, 345, 567, 540, 154, 514, 543, 318, 488, 379, 464, 456, 515, 346, 460, 372, 570, 290, 156, 539, 374, 317, 457, 408, 323, 513, 625, 595, 375, 516, 490, 376, 487, 153, 427, 512, 402, 263, 455, 347, 517, 523, 407, 484, 430, 511, 485, 349, 291]",5.719428300857544,11.02388334274292,0.04201078414916992,5.249467134475708
2,5,0.972,0.9716538282905847,0.971915734493677,"[378, 406, 350, 434, 461, 433, 409, 377, 462, 489, 405, 568, 437, 542, 569, 596, 597, 428, 373, 401, 436, 400, 541, 155, 351, 381, 345, 429, 514, 567, 540, 543, 154, 488, 515, 379, 464, 460, 346, 318, 456, 372, 570, 156, 374, 539, 290, 317, 408, 457, 516, 513, 323, 595, 625, 490, 487, 153, 375, 427, 376, 455, 512, 407, 523, 402, 517, 484, 263, 486, 430, 511, 347, 626, 485]",5.749385595321655,11.150218963623047,0.04157233238220215,5.345425128936768
